Content type,ID,Name,Aka,Social identifiers,Authors (IDs),Authors (names),Discipline,Base texts (IDs),Base texts (names),Highest Year,Lowest Year
Person,97555,Soraṭīviśvanātha,,,,,,,,,
Person,86148,Soṣale Revaṇārādhya,,,,,,,,1650,1650
Work,88906,Spandakārikās,,,85262,Vasugupta,Kashmir Śaivism,,,,
Work,103905,Spandapradīpikā,,,85266,Kallaṭa,Vedānta (general),,,,
Work,103906,Spandapradīpikā (with commentary),,,85353,Utpala Vaiṣṇava,Vedānta (general),103905,Spandapradīpikā,,
Work,89258,Spandasaṃdoha,,,85365,Kṣemarāja,Kashmir Śaivism,,,,
Work,107362,Spaṣṭagrahanirūpaṇavyākhyā,,,,,Jyotiḥśāstra,,,,
Work,95397,Spasṭārthadīpikā on Bāḍarāyaṇa’s Brahmasūtras,,,87648,Rāmabrahmendra Sarasvatī,,,,,
Work,42446,Sphoṭacandrikā,,,41019,Śrīkṛṣṇa Mauni,Vyākaraṇa,91348,Śabdakaustubha,,
Work,94666,Sphoṭamīmāṃsā,,,87032,Rāma Nārāyaṇa Miśra,,,,,
Work,91897,Sphoṭanirṇaya,>Sphoṭavāda,,41099,Kauṇḍabhaṭṭa,Vyākaraṇa,,,,
Work,92368,Sphoṭanirūpaṇa,,,86204,Āpadeva II,,,,,
Work,93455,Sphoṭaprakāśa,,,41156,Bhairavamiśra,,,,,
Work,95101,Sphoṭapratiṣṭhā,,,87399,Keśava,Vyākaraṇa,,,,
Work,88613,Sphoṭasiddhi,,,85210,Maṇḍana Miśra,Vyākaraṇa,,,,
Work,90987,Sphoṭasiddhi,,,85905,Bhārata Miśra,Vyākaraṇa,,,,
Work,90905,Sphoṭatattvanirūpaṇa,,,85864,Śeṣa Kṛṣṇa,Vyākaraṇa,,,,
Work,92828,Sphoṭavāda,,,40667,Nāgeśabhaṭṭa,Vyākaraṇa,,,,
Person,96425,Sphujidhvaja,,Indo-Greek,,,,,,500,500
Work,103921,Sphuratkṛṣṇapremāmṛta,,,85920,Viṭṭhala Nātha Dīkṣita,Vedānta (general),,,,
Work,91483,Sphūrtī on Jayadeva Pakṣadhara Miśra's Tattvacintāmaṇyāloka,,,86022,Agnihotra Bhaṭṭa,,90652,Tattvacintāmaṇyāloka,,
Work,88622,Sphuṭārtha Śrīghanacavasaṃgrahaṭīkā,,,85215,Jayarakṣita,,,,,
Work,88917,Sphuṭārtha on the Abhisamayālaṃkāra,,,85269,Haribhadra,,88231,Abhisamayālaṃkāra,,
Work,88531,Sphuṭārthavyākhyā on Vasubandhu's Abhidharmakośa,,,85184,Yaśomitra,,88240,Abhidharmakośa and Bhāṣya thereon,,
Person,86735,S.P.Raṅganātha Svāmin,Cayanin,,,,,,,1913,1913
Work,113539,Śrāddha yāgu saphū,Piṇḍaśrayaguyā pradāṇa naṁdu,,,,"Buddhism (general), Dharmaśāstra",,,,
Work,88364,Śraddhābālādhānāvatāramudrāsūtra,,,,,,,,454,454
Work,41566,Śrāddhakalpalatā,,,40628,Nanda,Dharmaśāstra,,,1500,1500
Work,41641,Śrāddhamayūkha,,,,,,,,1600,1600
Person,87781,Śraddhānanda Pūjyapāda,,,,,,,,,
Work,110743,Śrāddhapārvaṇadvayapaddhati,,,,,Dharmaśāstra,,,,
Work,96096,(Śrāddha)Pratikramaṇasūtra,,,,,,,,,
Work,111580,Śrāddhasūtra Bhāṣya,,,111352,Gadādhara,,,,,
Work,110754,Śrāddhavidhi,,,,,Dharmaśāstra,,,,
Work,90432,Śrāddhāvidhiprakaraṇa,,,85670,Ratnaśekhara Gaṇi,,,,,
Work,90612,Śrāddhavidhiprakaraṇa and Vidhikaumudī thereon,,,85751,Ratnaśekhara Sūri,,,,,
Work,90506,Śrāddhavidhiviniścaya,,,85701,Harṣabhūṣaṇa Gaṇi,,,,,
Work,42379,Śrāddhaviveka,,,40979,Rudradhara,,,,,
Work,41659,Śrāddhenduśekhara,,,40667,Nāgeśabhaṭṭa,Dharmaśāstra,,,1650,1650
Work,115996,Sragdharā Stotra,Sragdharāstuti,,116002,Sarvajñamitra,Buddhism (general),,,,
Work,115997,Sragdharāṭīkā,,,116003,Jinarakṣita,Buddhism (general),115996,Sragdharā Stotra,,
Work,95895,Śramaṇyaphalasūtra,,,,,,,,,
Work,92102,Śrautakhaṇḍārthasiddhi,,,86144,Rāmānanda Tīrtha,,,,,
Work,90782,Ṣrāvakācāra,,,85831,Tāraṇa,,,,,
Work,89907,Śrāvakadharmaprakaraṇa,,,85558,Jineśvāra,,,,,
Work,88310,Śrāvakaprajñapti,,,85130,Umāsvāti,,,,,
Work,91922,Śrāvakārādhanā,,,86117,Samayasundara,,,,,
Work,103400,Śravaṇavidhi,,,,,Vedānta (general),,,,
Person,115150,Śree Hemnārāyaṇa paṇdita,,,,,,,,,
Person,41032,Śrī,,,,,,,,,
Person,112590,Śrī,,,,,,,,,
Person,112419,Śrī ācārīji,,,,,,,,,
Person,111124,Śrī Brāhma,,,,,,,,975,975
Work,113590,Śrī Cakrasaṁvara Samādhī,Śrī Cakrasaṁvara Samādhī,,,,,,,,
