Collection,Text Name,Alternative Text Names,Author Name,Alternative Author Names,File Size (kb),Link 1 (main),Link 2 (underlying),Link 3 (extract),Work ID,Author ID
GRETIL,Rasendracūḍāmaṇi,,Somadeva,,181.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/rascum_u.htm,,,109673,109672
GRETIL,Arthaśāstra,,Kauṭilya,"Kauṭalya, Cāṇakya",607.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/5_artha/kautil_u.htm,,,109693,109692
GRETIL,Kādambarīkathāsāra,,Abhinanda,,113.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/akadambu.htm,,,109729,109728
GRETIL,Rāvaṇavadha,Bhaṭṭikāvya,Bhaṭṭi,,245.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/bhattiku.htm,,,109797,109796
GRETIL,Gītagovinda,,Jayadeva,,55.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/jaygit2u.htm,,,109801,109800
GRETIL,Gītagovinda,,Jayadeva,,56.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/jaygit1u.htm,,,109801,109800
GRETIL,Śārdūlakarṇāvadāna,,,,268.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/divav33u.htm,,,110404,—
GRETIL,Divyāvadāna,,,,1557,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/divyav_u.htm,,,110408,—
GRETIL,Saundaryalaharī,,Śaṃkara,Ādi Śaṅkarācārya,23.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/saiva/saulahpu.htm,,,110922,85218
GRETIL,Hitopadeśa,,Nārāyaṇa,Nārāyaṇa Paṇḍita,210.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/4_narr/hitop_u.htm,,,111762,111761
GRETIL,Ekākṣarakośa,,Puruṣottamadeva,,3.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/saiva/purekaku.htm,,,112100,40621
GRETIL,Sāṃkhyatattvapradīpikā,Sāṃkhyārthatattvapradīpikā,Keśavabhaṭṭa,Keśava,11.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/kestprau.htm,,,112111,113866
GRETIL,Pañcatantra,,Viṣṇuśarma,,489.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/4_narr/vispancu.htm,,,112155,112154
GRETIL,Viṣṇudharmottara-Purāṇa: Atharvavidhikathana,Atharvavidhāna,,,7.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/vd2127_u.htm,,,112177,—
GRETIL,Viṣṇudharmottara-Purāṇa,,,,54.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/vd3343pu.htm,,,112177,—
GRETIL,Harivaṃśa,,,,994.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/2_epic/mbh/ext/hv_conpu.htm,,,112278,—
GRETIL,Vṛttaratnākara,,Kedārabhaṭṭa,Kedāranātha Bhaṭṭa,18.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_chandas/kedvratu.htm,,,112591,112589
GRETIL,Vṛttaratnākara,,Kedārabhaṭṭa,Kedāranātha Bhaṭṭa,106.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_chandas/kvrtrsuu.htm,,,112591,112589
GRETIL,Ṛgvidhāna,,,,108.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/5_vedang/3_pratis/rgvidh_u.htm,,,113082,—
GRETIL,Śāṅkhāyana-Gṛhyasūtra,,,,87.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/5_vedang/2_grhya/sankhgsu.htm,,,113085,—
GRETIL,Aśokāvadāna,,,,161,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/divav29u.htm,,,113491,—
GRETIL,Svayambhu Purāṇa,,,,234.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/svabhupu.htm,,,113595,—
